"Mental health indicators c 1 2 3 4"
"Frequency: Occasional"
"Table: 13-10-0465-01 (formerly CANSIM 105-1101)"
"Release date: 2024-12-12"
"Geography: Canada, Geographical region of Canada, Province or territory"
""
""

"Geography 5","Canada",,,,,
"Age group","Total, 15 years and over",,,,,
"Gender 6 7","Men+",,,,,
"Characteristics 8 9 10 11 12 13 14 15 16 17 18","Number of persons",,,"Percent",,
"Indicators 2","2002","2012","2022","2002","2012","2022"
,"Number",,,"Percent",,
"Any selected disorder (mental or substance), excluding social phobia, life 19 20 21 22 23 24 25 26 27 28 29","..","5,177,155","5,525,200","..","38.1","39.0"
"Any selected disorder (mental or substance), excluding social phobia, 12 months 19 21 22 23 24 25 26 27 28 29 30","..","1,434,867","1,697,300","..","10.6","12.4"
"Any mood disorder, life 19 21 22 31","..","1,388,452","1,873,700","..","10.0","12.6"
"Any mood disorder, 12 months 19 21 22 32","..","604,963","995,600","..","4.4","6.7"
"Major depressive episode, life 19 21 33","1,125,806","1,179,264","1,622,700","9.2","8.5","10.8"
"Major depressive episode, 12 months 19 21 34","451,618","503,253","865,000","3.7","3.6","5.7"
"Bipolar disorder, life 19 22 35","..","376,341","532,200","..","2.7","3.5"
"Bipolar disorder, 12 months 19 22 36","..","219,673","308,800","..","1.6","2.0"
"Generalized anxiety disorder, life 19 23 37","..","836,464","1,479,800","..","6.0","10.0"
"Generalized anxiety disorder, 12 months 19 23 38","..","270,458","533,800","..","2.0","3.6"
"Any substance use disorder (alcohol or drug), life 19 24 25 26 27 28 29 39 40","..","4,236,337","4,103,700","..","31.1","28.2"
"Any substance use disorder (alcohol or drug), 12 months 19 24 25 26 27 28 29 40 41","..","864,069","662,800","..","6.4","4.6"
"Alcohol abuse or dependence, life 19 24 25 42","..","3,660,690","3,466,100","..","26.6","23.1"
"Alcohol abuse or dependence, 12 months 19 24 25 43","..","643,704","384,600","..","4.7","2.6"
"Cannabis abuse or dependence, life 19 26 27 40 44","..","1,363,236","1,430,600","..","9.9","9.7"
"Cannabis abuse or dependence, 12 months 19 26 27 40 45","..","267,851","290,300","..","1.9","2.0"
"Other drug abuse or dependence (excluding cannabis), life 19 28 29 40 46","..","697,266","720,800","..","5.1","4.8"
"Other drug abuse or dependence (excluding cannabis), 12 months 19 28 29 40 47","..","117,400","104,600","..","0.9","0.7"
"Cannabis use, life 40 48","5,757,706","6,871,608","7,975,400","47.0","49.4","51.8"
"Cannabis use, 12 months 40 49","1,896,196","2,236,815","3,935,600","15.5","16.1","25.6"
"Other drug use (excluding cannabis), life 40 50","..","3,650,169","3,966,800","..","26.3","25.8"
"Other drug use (excluding cannabis), 12 months 40 51","..","936,736","1,087,700","..","6.8","7.2"
"Suicidal thoughts, life 52","1,507,262","1,479,453","1,578,500","12.3","10.7","10.3"
"Suicidal thoughts, 12 months 53","440,484","446,499","496,600","3.6","3.2","3.3"
"Perceived mental health, very good or excellent 54","8,476,860","9,337,259","8,686,800","69.0","67.0","56.3"
"Perceived mental health, good 54","3,062,095","3,706,408","4,583,200","24.9","26.6","29.7"
"Perceived mental health, fair or poor 54","742,530","902,355","2,167,000","6.0","6.5","14.0"
"Self-rated work stress, days quite a bit or extremely stressful 55","2,769,487","2,644,543","2,413,400","28.9","24.8","22.1"
"Self-rated work stress, days a bit stressful 55","3,815,635","4,663,018","4,715,600","39.8","43.8","43.1"
"Self-rated work stress, days not at all or not very stressful 55","3,011,273","3,346,444","3,806,000","31.4","31.4","34.8"
"Perceived need for mental health care, no need 56","..","12,039,863","12,124,500","..","86.7","81.3"
"Perceived need for mental health care, all needs met 56","..","1,227,036","1,628,500","..","8.8","10.9"
"Perceived need for mental health care, needs partially met 56","..","378,803","690,900","..","2.7","4.6"
"Perceived need for mental health care, need not met 56","..","239,129","476,200","..","1.7","3.2"
"Mental health services, professional consultation/service used, 12 months 57","..","1,124,373","1,836,300","..","8.1","12.0"
"Schizophrenia or psychosis, ever received diagnosis 58","..","168,446","285,700","..","1.2","1.9"
"Post-traumatic stress disorder, current diagnosed condition 59","106,138","136,626","351,200","0.9","1.0","2.3"
"Eating disorder, current diagnosed condition 60","20,316E","27,335E","66,200","0.2E","0.2E","0.4"
"Attention deficit disorder, current diagnosed condition 61","..","462,779","1,085,100","..","3.3","7.1"

Symbol legend:
.., not available for a specific reference period
14,"For the 2002 dataset, 1996 Census population counts were used. Evaluation studies have confirmed that the impact of this change on Canadian Community Health Survey - Mental Health (CCHS) estimates should be minimal. For 2012, the 2006 Census population counts have been used to produce the population projection counts. These counts are used to ensure that the Canadian Community Health Survey - Mental health survey weights and resulting estimates included in this CANSIM table are consistent with known population totals. For 2022, the 2021 Census long form population counts were used. This allowed the identification and selection of targeted individuals from targeted subpopulations (South Asian, Black, Chinese, Filipino), which is much more efficient than selecting dwellings in the general population."
15,"Beginning with the 2022 cycle of Canadian Community Health Survey - Mental Health (CCHS), quality flags are applied to estimates based on the sample size within the domain of estimation. The flag (E) signifies an estimate with poorer quality which should be used with caution. The flag (F) signifies an estimate with a quality that is to unreliable to be published. The flag (X) signifies an estimate with a frequency that is too small to be published. When there is no quality flag applied to the data, users should use the estimated confidence intervals as an indicator of quality for the statistics."
16,"Data from 2002 and 2012 were collected in-person via computer-assisted interviews. Data from 2022 was collected remotely via computer-assisted telephone interviews."
17,"Canadian Community Health Survey (CCHS) - Mental Health and Well-being, 2002, had a sample size of 40,000 and a response rate of 77%. Canadian Community Health Survey (CCHS) - Mental Health, 2012, had a sample size of 43,030 and a response rate of 79.8%. Mental Health and Access to Care Survey (MHACS) had a sample size of 40,000 and a response rate of 25%."
18,"Data from Mental Health and Access to Care Survey (MHACS) was collected during a public health emergency due to the COVID-19 pandemic. The impossibility of conducting in-person interviews, the shorter collection periods and collection capacity issues resulted in a significant decrease in the response rates."
19,"The Mental Health Survey is partially based on a modified World Health Organization Composite International Diagnostic Interview (WHO-CIDI). The WHO-CIDI is a standardized instrument for assessment of mental disorders and conditions according to an operationalization of the definitions and criteria of the DSM-IV. DSM-IV refers to the Diagnostic and Statistical Manual of Mental Disorders used by the American Psychiatric Association. It is an internationally recognized classification of mental disorders. Mental conditions or problems are derived from a set of questions pertaining to the feelings, the symptoms, severity, the intensity and the impact relative to each of the measured disorders."
20,"Population aged 15 and over classified as meeting criteria for any of the measured disorders (major depressive episode, bipolar disorder, generalized anxiety disorder, alcohol dependence, alcohol abuse, cannabis dependence, cannabis abuse, other drug dependence (excluding cannabis), other drug abuse (excluding cannabis)) in their lifetime."
21,"Major depressive episode requires at least one episode of 2 weeks or more with persistent depressed mood and loss of interest or pleasure in normal activities, accompanied by problems such as decreased energy, changes in sleep and appetite, impaired concentration and feelings of guilt, hopelessness, or suicidal thoughts."
22,"Bipolar disorder includes respondents who meet the criteria for bipolar I disorder or hypomanic episode, which includes bipolar II disorder. It is characterised by at least 7 days (or fewer if hospitalized) of exaggerated feelings of elevated or irritable mood plus a certain number and combination of other manic symptoms such as racing thoughts, talking more than usual, excessive spending, decreased need for sleep, increased pleasure seeking activity, or exaggerated self-confidence. Many people also experience at least one depressive episode."
23,"Generalized anxiety disorder is characterised by a pattern of frequent, persistent worry and excessive anxiety about several events or activities during a period of at least 6 months. Symptoms of generalized anxiety disorder include restlessness or feeling keyed up or on edge, being easily fatigued, difficulty concentrating, irritability, muscle tension, shakiness, sleep disturbance (difficulty falling asleep or staying asleep or restless, unsatisfying sleep), excessive sweating, palpitations, shortness of breath, and various gastrointestinal symptoms."
24,"Alcohol dependence is characterized by a recurrent pattern of use where at least three of the following occur in the same period of 12 month period: increased tolerance, withdrawal, increased consumption, unsuccessful attempts to quit, a lot of time lost recovering or using, reduced activities, and continued drinking despite persistent physical or psychological problems caused or intensified by alcohol."
25,"Alcohol abuse is characterized by a recurrent pattern of use where at least one of the following occurs: failure to fulfill major roles at work, school or home, use in physically hazardous situations, recurrent alcohol related problems, or continued use despite social or interpersonal problems caused or intensified by alcohol.  By definition, respondents who meet the criteria for alcohol dependence are excluded from meeting the criteria for alcohol abuse."
26,"Cannabis dependence is characterized by a recurrent pattern of use where at least three of the following occur in the same period of 12 month period: increased tolerance, withdrawal, increased consumption, unsuccessful attempts to quit, a lot of time lost recovering or using, reduced activities, and continued use despite persistent physical or psychological problems caused or intensified by cannabis use."
27,"Cannabis abuse is characterized by a recurrent pattern of use where at least one of the following occurs: failure to fulfill major roles at work, school or home, use in physically hazardous situations, recurrent cannabis related problems, or continued use despite social or interpersonal problems caused or intensified by cannabis use.  By definition, respondents who meet the criteria for cannabis dependence are excluded from meeting the criteria for cannabis abuse."
28,"Other drug dependence (excluding cannabis) is characterized by a recurrent pattern of use where at least three of the following occur in the same period of 12 month period: increased tolerance, withdrawal, increased consumption, unsuccessful attempts to quit, a lot of time lost recovering or using, reduced activities, and continued use despite persistent physical or psychological problems caused or intensified by drug use."
29,"Other drug abuse (excluding cannabis) is characterized by a recurrent pattern of use where at least one of the following occurs: failure to fulfill major roles at work, school or home, use in physically hazardous situations, recurrent cannabis related problems, or continued use despite social or interpersonal problems caused or intensified by drug use.  By definition, respondents who meet the criteria for other drug dependence are excluded from meeting the criteria for other drug abuse."
30,"Population aged 15 and over classified as meeting criteria for any of the measured disorders (major depressive episode, bipolar disorder, generalized anxiety disorder, alcohol dependence, alcohol abuse, cannabis dependence, cannabis abuse, other drug dependence (excluding cannabis), other drug abuse (excluding cannabis)) in the 12 months prior to interview."
31,"Population aged 15 and over classified as meeting criteria for either of the measured mood disorders (major depressive episode, bipolar disorder) in their lifetime."
32,"Population aged 15 and over classified as meeting criteria for either of the measured mood disorders (major depressive episode, bipolar disorder) in the 12 months prior to interview."
33,"Population aged 15 and over classified as meeting criteria for major depressive episode in their lifetime."
34,"Population aged 15 and over classified as meeting criteria major depressive episode in the 12 months prior to interview."
35,"Population aged 15 and over classified as meeting criteria for bipolar disorder in their lifetime."
36,"Population aged 15 and over classified as meeting criteria for bipolar disorder in the 12 months prior to interview."
37,"Population aged 15 and over classified as meeting criteria for generalized anxiety disorder in their lifetime."
38,"Population aged 15 and over classified as meeting criteria for generalized anxiety disorder in the 12 months prior to interview."
39,"Population aged 15 and over classified as meeting criteria for any of the measured substance use disorders (alcohol dependence, alcohol abuse, cannabis dependence, cannabis abuse, other drug dependence (excluding cannabis), other drug abuse (excluding cannabis)) in their lifetime."
40,"Recreational use of cannabis was legalized in Canada in 2017 as per the Cannabis Act (Bill C-46)."
41,"Population aged 15 and over classified as meeting criteria for any of the measured substance use disorders (alcohol dependence, alcohol abuse, cannabis dependence, cannabis abuse, other drug dependence (excluding cannabis), other drug abuse (excluding cannabis)) in the 12 months prior to interview."
42,"Population aged 15 and over classified as meeting criteria for alcohol abuse or dependence in their lifetime."
43,"Population aged 15 and over classified as meeting criteria for alcohol abuse or dependence in the 12 months prior to the interview."
44,"Population aged 15 and over classified as meeting criteria for cannabis abuse or dependence in their lifetime."
45,"Population aged 15 and over classified as meeting criteria for cannabis abuse or dependence in the 12 months prior to the interview."
46,"Population aged 15 and over classified as meeting criteria for other drug abuse or dependence (excluding cannabis) in their lifetime. Other drugs include substances such as club drugs, heroin, solvents, other illicit drugs and nonmedical use of prescription sedatives, analgesics, or stimulants."
47,"Population aged 15 and over classified as meeting criteria for other drug abuse or dependence (excluding cannabis) in the 12 months prior to the interview. Other drugs include substances such as club drugs, heroin, solvents, other illicit drugs and nonmedical use of prescription sedatives, analgesics, or stimulants."
48,"Population aged 15 and over who reported using cannabis or hashish at least once in their lifetime."
49,"Population aged 15 and over who reported using cannabis or hashish at least once in the 12 months prior to the interview."
50,"Population aged 15 and over who have used an other illicit drug (excluding cannabis) or have used a medicine nonmedically at least once in their lifetime. Other drugs include substances such as club drugs, heroin, solvents, other illicit drugs and nonmedical use of prescription sedatives, analgesics, or stimulants."
51,"Population aged 15 and over who have used an other illicit drug (excluding cannabis) or have used a medicine nonmedically at least once in the 12 months prior to the interview. Other drugs include substances such as club drugs, heroin, solvents, other illicit drugs and nonmedical use of prescription sedatives, analgesics, or stimulants."
52,"Population aged 15 and over who ever thought about committing suicide or taking their own life."
53,"Population aged 15 and over who thought about committing suicide or taking their own life in the 12 months prior to interview."
54,"Population aged 15 and over who reported perceiving  their own mental health status as being either excellent, very good, good, fair or poor. Perceived mental health refers to the perception of a person's mental health in general."
55,"Population aged 15 to 75 inclusive who report having worked in the 12 months prior to interview and responded to the question: "Would you say that most days at work were: not at all stressful, not very stressful,  a bit stressful, quite a bit stressful, extremely stressful?" The self-rated stress question refers to the person's main job or business."
56,"Population aged 15 and over who reported having or not having a perceived need for mental health care (information, medication, counselling, other) in the 12 months prior to interview. Respondents are grouped into one of four categories based on whether a need was reported, and if so, whether their needs were met, partially met, or unmet."
57,"Population aged 15 and over who report having consulted a professional or utilized a professional service in the 12 months prior to interview for problems with emotions, mental health, or use of alcohol or drugs. Professionals included are psychiatrists, family doctors and general practitioners, psychologists, nurses, social workers, counsellors, and psychotherapists. Professional services include hospitalization and online therapy."
58,"Population aged 15 and over who reported that they have ever been diagnosed by a health professional with schizophrenia or psychosis."
59,"Population aged 15 and over who reported that they have been diagnosed by a health professional as currently having post-traumatic stress disorder."
60,"Population aged 15 and over who reported that they have been diagnosed by a health professional as currently having an eating disorder."
61,"Population aged 15 and over who reported that they have been diagnosed by a health professional as currently having attention deficit disorder."



"How to cite: Statistics Canada. Table 13-10-0465-01  Mental health indicators"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1310046501
